method,model,n_queries,ranking_error_l1,ranking_error_l2,mrr_l1,mrr_l2,P@1_L1,R@1_L1,Hit@1_L1,P@1_L2,R@1_L2,Hit@1_L2,nDCG@1,P@5_L1,R@5_L1,Hit@5_L1,P@5_L2,R@5_L2,Hit@5_L2,nDCG@5,P@10_L1,R@10_L1,Hit@10_L1,P@10_L2,R@10_L2,Hit@10_L2,nDCG@10,P@20_L1,R@20_L1,Hit@20_L1,P@20_L2,R@20_L2,Hit@20_L2,nDCG@20
D_tfidf_80,dense_rerank_top50,917,0.6466739367502726,28.6226826608506,0.9149271524650939,0.3641373264610273,0.8669574700109052,0.004166536472438548,0.8669574700109052,0.33042529989094876,0.006702417529619359,0.33042529989094876,0.8400581606688482,0.8599781897491803,0.020200052033584354,0.9672846237731734,0.3186477644492911,0.028165210419655914,0.4034896401308615,0.8348880070794499,0.8470010905125375,0.039793828309123556,0.9792802617230099,0.3069792802617229,0.04925630955903374,0.41657579062159217,0.8267556454506381,0.829116684841878,0.07530835789010511,0.9934569247546347,0.2939476553980371,0.08118531492825054,0.4340239912758997,0.819263449924099
D_tfidf_160,dense_multiqa,917,0.7131952017448201,505.77753544165756,0.9114477064696285,0.3672818455010052,0.8669574700109052,0.004208915944366801,0.8669574700109052,0.3391494002181025,0.008052254348253449,0.3391494002181025,0.845147219193021,0.8543075245365308,0.02048946783107459,0.9640130861504908,0.3129770992366411,0.02758046892942337,0.40458015267175573,0.830320633650527,0.8429661941112291,0.04016997714656814,0.9792802617230099,0.301526717557252,0.04747424227249951,0.4198473282442748,0.8228319291713607,0.8247546346783001,0.0755899465276325,0.990185387131952,0.29029443838604124,0.08018070926520432,0.4296619411123228,0.8157359397838131
B_medium_k10,dense_multiqa,917,1.009814612868048,507.0752453653217,0.9124439009316602,0.35486181892373425,0.871319520174482,0.004119976029636954,0.871319520174482,0.3260632497273719,0.0064250839952687,0.3260632497273719,0.8436932024718289,0.8543075245365318,0.01989588894077801,0.9618320610687023,0.30687022900763355,0.024503456392263846,0.3893129770992366,0.8286739764298453,0.8426390403489615,0.03876583585683538,0.9770992366412213,0.302835332606325,0.046406665507533196,0.4154852780806979,0.8226800955537519,0.817448200654308,0.07127325737826208,0.9890948745910578,0.2904580152671758,0.07635617967727866,0.430752453653217,0.810423524743773
B_medium_k10,hybrid_alpha0.5,917,1.0087241003271539,507.17993456924756,0.9067435752241452,0.35698239831702033,0.8593238822246456,0.004116300027893555,0.8593238822246456,0.32061068702290074,0.007068162241478076,0.32061068702290074,0.8353326063249732,0.852562704471101,0.02037961429355045,0.9629225736095965,0.31166848418756815,0.0263223471443733,0.40021810250817885,0.8275784120941666,0.8423118865866926,0.03979682978803722,0.9825517993456925,0.30327153762268255,0.047283878901034866,0.41657579062159217,0.8217064444873241,0.8181570338058889,0.07419052375953401,0.990185387131952,0.2884405670665212,0.07724552831235681,0.4296619411123228,0.8101345385499621
B_medium_k20,dense_multiqa,917,0.9923664122137404,507.12431842966197,0.9120473131585163,0.356141231009486,0.8702290076335878,0.004124301171919718,0.8702290076335878,0.3282442748091603,0.006534974970396881,0.3282442748091603,0.8433296982915309,0.8521264994547433,0.01985065262284174,0.9629225736095965,0.3059978189749181,0.024119016846382558,0.3914940021810251,0.8269891404708111,0.8406761177753517,0.0387159809773394,0.9781897491821155,0.30239912758996734,0.04613029658940987,0.4143947655398037,0.8209731352445893,0.815594329334788,0.07113705296214477,0.9890948745910578,0.2895856052344603,0.07615791199983502,0.4296619411123228,0.8087302960240237
D_tfidf_120,dense_multiqa,917,0.7884405670665212,506.1559432933479,0.9149509952178482,0.3617070566618593,0.871319520174482,0.004229368993964519,0.871319520174482,0.33151581243184297,0.00640921352857904,0.33151581243184297,0.8436932024718289,0.8571428571428559,0.020507003947860467,0.9618320610687023,0.3099236641221374,0.02609369989196215,0.3969465648854962,0.831955488094912,0.8389312977099203,0.03999092031722817,0.9749182115594329,0.29858233369683745,0.04626830353280838,0.4176663031624864,0.820368153327741,0.8203380588876779,0.0758139896362736,0.9912758996728462,0.2882769901853871,0.08142577942281831,0.43293347873500543,0.812543209264829
B_medium_k20,tfidf,917,0.6804798255179935,505.98364231188657,0.9105818617813967,0.36041748285016156,0.8593238822246456,0.004154660606410027,0.8593238822246456,0.3271537622682661,0.007660678380749144,0.3271537622682661,0.8375136314067617,0.8521264994547425,0.020432793699292327,0.9727371864776445,0.3142857142857143,0.03216479958291295,0.40567066521264994,0.828957494125071,0.838276990185384,0.039846860866778064,0.9858233369683751,0.2989094874591057,0.05390349507004652,0.42093784078516905,0.820082983891204,0.8182115594329346,0.07622722744563552,0.9934569247546347,0.2834787350054527,0.08214263920962316,0.4296619411123228,0.8102106179092298
B_medium_k10,tfidf,917,0.6423118865866958,505.773173391494,0.9091968686175299,0.3533806234352788,0.861504907306434,0.0041411947937113665,0.861504907306434,0.31842966194111233,0.006936925839761303,0.31842966194111233,0.8375136314067617,0.8538713195201734,0.020212104468054767,0.965103598691385,0.3018538713195202,0.029108802409002193,0.3980370774263904,0.8267620144206622,0.8401308615049046,0.03931941899531881,0.9836423118865867,0.28920392584514726,0.050403655766879864,0.4176663031624864,0.8195263758046286,0.820229007633589,0.0759677268464042,0.9945474372955289,0.2780806979280262,0.08011591940814802,0.42639040348964014,0.8105724827178656
B_medium_k10,dense_allMiniLM,917,0.9149400218102508,507.68920392584516,0.9068835151016982,0.34914133390758,0.8593238822246456,0.003998742088392755,0.8593238822246456,0.311886586695747,0.0055226665141416735,0.311886586695747,0.8346055979643768,0.8538713195201736,0.019441474226256916,0.9574700109051254,0.3031624863685933,0.023089265159936187,0.3904034896401309,0.8288301514341929,0.8370774263904006,0.037076508659081825,0.9716466739367503,0.2930207197382769,0.04124277005750885,0.4089422028353326,0.8188101846353597,0.8127044711014182,0.06740365724520876,0.9890948745910578,0.28140676117775343,0.06907743154348157,0.42420937840785167,0.805984025047177
B_medium_k20,dense_allMiniLM,917,0.9149400218102508,507.68920392584516,0.9068835151016982,0.34914133390758,0.8593238822246456,0.003998742088392755,0.8593238822246456,0.311886586695747,0.0055226665141416735,0.311886586695747,0.8346055979643768,0.8538713195201736,0.019441474226256916,0.9574700109051254,0.3031624863685933,0.023089265159936187,0.3904034896401309,0.8288301514341929,0.8370774263904006,0.037076508659081825,0.9716466739367503,0.2930207197382769,0.04124277005750885,0.4089422028353326,0.8188101846353597,0.8127044711014182,0.06740365724520876,0.9890948745910578,0.28140676117775343,0.06907743154348157,0.42420937840785167,0.805984025047177
D_tfidf_160,bm25,917,0.604143947655398,505.10796074154854,0.9223355799646671,0.37257108631127495,0.88113413304253,0.00430356447465462,0.88113413304253,0.34242093784078514,0.007868178868190988,0.34242093784078514,0.854234823700473,0.8475463467829872,0.020435146591462023,0.9716466739367503,0.3214830970556163,0.03129992300997637,0.4034896401308615,0.8273705021482358,0.8359869138495055,0.04036729879517635,0.9880043620501636,0.30774263904034915,0.052088746039855124,0.42639040348964014,0.8171910339831905,0.8162486368593256,0.07778786689259888,0.9923664122137404,0.29023991275899685,0.0840874962400034,0.4340239912758997,0.805765860246276
B_medium_k20,hybrid_alpha0.5,917,0.9029443838604144,507.0610687022901,0.9096600555440949,0.3568676882967574,0.8625954198473282,0.004149521384849969,0.8625954198473282,0.31842966194111233,0.007172931220502436,0.31842966194111233,0.8386041439476558,0.8508178844056691,0.02051114633765242,0.9640130861504908,0.31581243184296637,0.027755400871170895,0.40239912758996726,0.8267630583635527,0.8353326063249698,0.039814077931201224,0.9814612868047983,0.305452562704471,0.048709468481241205,0.4198473282442748,0.8171643831472265,0.8107960741548542,0.07426735346047057,0.990185387131952,0.2920392584514721,0.0785606430731786,0.42857142857142855,0.8043900513767998
D_tfidf_80,dense_multiqa,917,0.707742639040349,506.2431842966194,0.9013450380064082,0.3596889139452046,0.8440567066521265,0.0041457972952036815,0.8440567066521265,0.3260632497273719,0.006866391693894301,0.3260632497273719,0.8186114140312618,0.8473282442748079,0.020236875922090884,0.9640130861504908,0.308833151581243,0.026039877474805413,0.39912758996728465,0.8204954404572573,0.8360959651035949,0.03973352303302752,0.9770992366412213,0.2988004362050163,0.047144065465957855,0.4187568157033806,0.8148990843918544,0.8159214830970574,0.07422460045352704,0.9890948745910578,0.2850054525627043,0.07769027012900763,0.430752453653217,0.8062491800342781
D_tfidf_160,dense_mpnet,917,0.8157033805888768,506.89749182115594,0.9000512999189068,0.351288296695558,0.8484187568157033,0.004122076021895116,0.8484187568157033,0.31297709923664124,0.006304597385534996,0.31297709923664124,0.8200654307524542,0.8434023991275883,0.020137702421670532,0.9629225736095965,0.30752453653217016,0.027183868069901945,0.3969465648854962,0.8180231521090886,0.8330425299890912,0.03943753045334871,0.9760087241003271,0.29727371864776453,0.04512343313881583,0.41657579062159217,0.8119704752407957,0.8109051254089436,0.07415745063515361,0.9880043620501636,0.285059978189749,0.07708062824755478,0.42857142857142855,0.8023740779272088
D_tfidf_120,dense_mpnet,917,0.7415485278080698,507.64885496183206,0.903614207083456,0.35465245085074676,0.8516902944383861,0.004143365671784148,0.8516902944383861,0.31842966194111233,0.006016072521869945,0.31842966194111233,0.8226099600145405,0.8453653217011986,0.020257399211408574,0.965103598691385,0.3064340239912759,0.025848994666184823,0.3969465648854962,0.8171469048018278,0.834787350054523,0.03961100280960546,0.9749182115594329,0.2981461286804799,0.04500690287697571,0.41657579062159217,0.8115993814986022,0.8135223555070884,0.07402067460985665,0.9934569247546347,0.28833151581243177,0.07746638053569925,0.4296619411123228,0.8035766954880325
